city_name,center_long,center_lat,url
Curitiba,-49.2712724,-25.4295963,https://kauevestena.github.io/opensidewalkmap_beta/
Orange FRANCE,44.13583,4.80886,https://kauevestena.github.io/opensidewalkmap_beta/
